id,type,magasin,adresse,ville,region,equipement,equipement_id,netsuite_id,planifie,heure,tech_id,opened_at
NS-10159,preventif,A&W Sorel-Tracy,"1103 rue du Prince, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Réfrigérateur,28,NS-10159,0,,,2026-08-05
NS-10160,preventif,Tim Hortons Shawinigan,"1120 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Roller Grill,4,NS-10160,0,,,2026-07-20
NS-10161,preventif,Harvey's Sherbrooke,"1137 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,Thermos,19,NS-10161,0,,,2026-08-05
NS-10162,preventif,Couche-Tard Sorel-Tracy,"1154 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Distributeur à eau chaude,22,NS-10162,0,,,2026-07-20
NS-10163,preventif,Harvey's Magog,"1171 rue Principale Ouest, Magog, QC",Magog,Estrie,Hotte,10,NS-10163,0,,,2026-07-01
NS-10164,preventif,Tim Hortons Sorel-Tracy,"1188 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Lave-vaisselle,26,NS-10164,0,,,2026-07-20
NS-10165,preventif,Couche-Tard Magog,"1205 rue Merry Nord, Magog, QC",Magog,Estrie,Café filtre,5,NS-10165,0,,,2026-07-01
NS-10166,preventif,McDonald's Trois-Rivières,"1222 rue des Forges, Trois-Rivières, QC",Trois-Rivières,Mauricie,Espresso,2,NS-10166,0,,,2026-07-01
NS-10167,preventif,Subway Trois-Rivières,"1239 rue Royale, Trois-Rivières, QC",Trois-Rivières,Mauricie,Filtration d'eau,6,NS-10167,0,,,2026-08-05
NS-10168,preventif,Restaurant du Parc Magog,"1256 rue Merry Nord, Magog, QC",Magog,Estrie,Four à Convection,14,NS-10168,0,,,2026-07-01
NS-10169,preventif,IGA Extra Nicolet,"1273 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,Four Combi,9,NS-10169,0,,,2026-07-20
NS-10170,preventif,Métro Sorel-Tracy,"1290 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,KIT ENTRETIEN,34,NS-10170,0,,,2026-07-01
NS-10171,preventif,Harvey's Sorel-Tracy,"1307 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Krystaline,29,NS-10171,0,,,2026-08-05
NS-10172,preventif,Métro Magog,"1324 rue Merry Nord, Magog, QC",Magog,Estrie,Machine à Glace,15,NS-10172,0,,,2026-07-20
NS-10173,preventif,Métro Sorel-Tracy,"1341 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Moulin,17,NS-10173,0,,,2026-07-20
NS-10174,preventif,Couche-Tard Sorel-Tracy,"1358 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Réfrigérateur,28,NS-10174,0,,,2026-08-05
NS-10175,preventif,Starbucks Sorel-Tracy,"1375 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Roller Grill,4,NS-10175,0,,,2026-07-20
NS-10176,preventif,Couche-Tard Victoriaville,"1392 boulevard des Bois-Francs, Victoriaville, QC",Victoriaville,Centre-du-Québec,Thermos,19,NS-10176,0,,,2026-07-20
NS-10177,preventif,Subway Sorel-Tracy,"1409 rue du Prince, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Distributeur à eau chaude,22,NS-10177,0,,,2026-07-01
NS-10178,preventif,Tim Hortons Magog,"1426 rue Principale Ouest, Magog, QC",Magog,Estrie,Hotte,10,NS-10178,0,,,2026-07-01
NS-10179,preventif,Subway Sorel-Tracy,"1443 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Lave-vaisselle,26,NS-10179,0,,,2026-07-01
NS-10180,preventif,McDonald's Sorel-Tracy,"1460 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Café filtre,5,NS-10180,0,,,2026-07-01
NS-10181,preventif,Dépanneur 7 jours Sherbrooke,"1477 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,Espresso,2,NS-10181,0,,,2026-08-05
NS-10182,preventif,Starbucks Magog,"1494 rue Merry Nord, Magog, QC",Magog,Estrie,Filtration d'eau,6,NS-10182,0,,,2026-08-05
NS-10183,preventif,Tim Hortons Shawinigan,"1511 3e Rue, Shawinigan, QC",Shawinigan,Mauricie,Four à Convection,14,NS-10183,0,,,2026-08-05
NS-10184,preventif,IGA Extra Drummondville,"1528 rue Brock, Drummondville, QC",Drummondville,Centre-du-Québec,Four Combi,9,NS-10184,0,,,2026-07-01
NS-10185,preventif,Tim Hortons Sorel-Tracy,"1545 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,KIT ENTRETIEN,34,NS-10185,0,,,2026-08-05
NS-10186,preventif,Métro Sorel-Tracy,"1562 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Krystaline,29,NS-10186,0,,,2026-08-05
NS-10187,preventif,Métro Sherbrooke,"1579 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,Machine à Glace,15,NS-10187,0,,,2026-08-05
NS-10188,preventif,Restaurant du Parc Shawinigan,"1596 3e Rue, Shawinigan, QC",Shawinigan,Mauricie,Moulin,17,NS-10188,0,,,2026-07-20
NS-10189,preventif,Starbucks Victoriaville,"1613 boulevard des Bois-Francs, Victoriaville, QC",Victoriaville,Centre-du-Québec,Réfrigérateur,28,NS-10189,0,,,2026-07-20
NS-10190,preventif,Tim Hortons Sherbrooke,"1630 rue King Est, Sherbrooke, QC",Sherbrooke,Estrie,Roller Grill,4,NS-10190,0,,,2026-07-20
NS-10191,preventif,Harvey's Sherbrooke,"1647 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,Thermos,19,NS-10191,0,,,2026-07-01
NS-10192,preventif,Métro Shawinigan,"1664 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Distributeur à eau chaude,22,NS-10192,0,,,2026-07-20
NS-10193,preventif,Harvey's Sherbrooke,"1681 rue King Ouest, Sherbrooke, QC",Sherbrooke,Estrie,Hotte,10,NS-10193,0,,,2026-07-01
NS-10194,preventif,Dépanneur 7 jours Shawinigan,"1698 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Lave-vaisselle,26,NS-10194,0,,,2026-07-01
NS-10195,preventif,Dépanneur 7 jours Trois-Rivières,"1715 rue Royale, Trois-Rivières, QC",Trois-Rivières,Mauricie,Café filtre,5,NS-10195,0,,,2026-07-20
NS-10196,preventif,Brûlerie locale Victoriaville,"1732 rue Laurier, Victoriaville, QC",Victoriaville,Centre-du-Québec,Espresso,2,NS-10196,0,,,2026-07-20
NS-10197,preventif,Harvey's Sorel-Tracy,"1749 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Filtration d'eau,6,NS-10197,0,,,2026-07-20
NS-10198,preventif,Couche-Tard Bécancour,"1766 avenue des Érables, Bécancour, QC",Bécancour,Centre-du-Québec,Four à Convection,14,NS-10198,0,,,2026-08-05
NS-10199,preventif,Métro Shawinigan,"1783 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Four Combi,9,NS-10199,0,,,2026-07-01
NS-10200,preventif,Couche-Tard Shawinigan,"100 3e Rue, Shawinigan, QC",Shawinigan,Mauricie,KIT ENTRETIEN,34,NS-10200,0,,,2026-08-05
NS-10201,preventif,Tim Hortons Sorel-Tracy,"117 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Krystaline,29,NS-10201,0,,,2026-08-05
NS-10202,preventif,A&W Sorel-Tracy,"134 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Machine à Glace,15,NS-10202,0,,,2026-08-05
NS-10203,preventif,Tim Hortons Victoriaville,"151 boulevard des Bois-Francs, Victoriaville, QC",Victoriaville,Centre-du-Québec,Moulin,17,NS-10203,0,,,2026-07-20
NS-10204,preventif,A&W Bécancour,"168 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Réfrigérateur,28,NS-10204,0,,,2026-07-20
NS-10205,preventif,A&W Shawinigan,"185 3e Rue, Shawinigan, QC",Shawinigan,Mauricie,Roller Grill,4,NS-10205,0,,,2026-07-01
NS-10206,preventif,Couche-Tard Bécancour,"202 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Thermos,19,NS-10206,0,,,2026-08-05
NS-10207,preventif,Harvey's Sherbrooke,"219 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,Distributeur à eau chaude,22,NS-10207,0,,,2026-08-05
NS-10208,preventif,IGA Extra Shawinigan,"236 3e Rue, Shawinigan, QC",Shawinigan,Mauricie,Hotte,10,NS-10208,0,,,2026-08-05
NS-10209,preventif,Harvey's Sherbrooke,"253 rue King Est, Sherbrooke, QC",Sherbrooke,Estrie,Lave-vaisselle,26,NS-10209,0,,,2026-08-05
NS-10210,preventif,A&W Sorel-Tracy,"270 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Café filtre,5,NS-10210,0,,,2026-07-01
NS-10211,preventif,Dépanneur 7 jours Trois-Rivières,"287 boulevard des Récollets, Trois-Rivières, QC",Trois-Rivières,Mauricie,Espresso,2,NS-10211,0,,,2026-08-05
NS-10212,preventif,A&W Magog,"304 rue Merry Nord, Magog, QC",Magog,Estrie,Filtration d'eau,6,NS-10212,0,,,2026-07-20
NS-10213,preventif,McDonald's Magog,"321 rue Merry Nord, Magog, QC",Magog,Estrie,Four à Convection,14,NS-10213,0,,,2026-07-01
