id,type,magasin,adresse,ville,region,equipement,equipement_id,netsuite_id,planifie,heure,tech_id,opened_at
NS-10155,preventif,McDonald's Thetford Mines,"1712 boulevard Frontenac, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,ADMIN,37,NS-10155,0,,,2026-08-01
NS-10156,preventif,Restaurant du Parc — Rue De L'Industrie,"1100 rue de l'Industrie, Bécancour, QC",Bécancour,Centre-du-Québec,Distributeur à sucre,20,NS-10156,0,,,2026-07-15
NS-10157,preventif,IGA Extra Magog,"488 rue Principale Ouest, Magog, QC",Magog,Estrie,Moulin,17,NS-10157,0,,,2026-08-10
NS-10158,preventif,Harvey's — Rue Heriot,"1152 rue Heriot, Drummondville, QC",Drummondville,Centre-du-Québec,Refroidisseur,31,NS-10158,0,,,2026-08-01
NS-10159,preventif,CLSC Nicolet,"1169 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,KIT ENTRETIEN,34,NS-10159,0,,,2026-07-01
NS-10160,preventif,Métro — Rue Du Portage,"180 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,Café filtre,5,NS-10160,0,,,2026-08-10
NS-10161,preventif,Couche-Tard Magog,"936 rue Merry Nord, Magog, QC",Magog,Estrie,Réchaud,3,NS-10161,0,,,2026-07-15
NS-10162,preventif,Benny&Co Magog,"921 rue Merry Nord, Magog, QC",Magog,Estrie,KIT ENTRETIEN,34,NS-10162,0,,,2026-08-01
NS-10163,preventif,Subway Nicolet,"762 boulevard Louis-Fréchette, Nicolet, QC",Nicolet,Centre-du-Québec,Distributeur lait/crème,8,NS-10163,0,,,2026-07-15
NS-10164,preventif,Dollarama Nicolet,"377 boulevard Louis-Fréchette, Nicolet, QC",Nicolet,Centre-du-Québec,Grille-Pain,11,NS-10164,0,,,2026-08-10
NS-10165,preventif,Starbucks — Rue De L'Aqueduc,"641 rue de l'Aqueduc, Victoriaville, QC",Victoriaville,Centre-du-Québec,Accessoire TP,30,NS-10165,0,,,2026-07-01
NS-10166,preventif,A&W — Rue Principale Ouest,"1490 rue Principale Ouest, Magog, QC",Magog,Estrie,Café filtre,5,NS-10166,0,,,2026-08-10
NS-10167,preventif,Subway Shawinigan,"985 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Site,1,NS-10167,0,,,2026-07-15
NS-10168,preventif,Subway Bécancour,"1877 avenue des Érables, Bécancour, QC",Bécancour,Centre-du-Québec,Slush,42,NS-10168,0,,,2026-07-01
NS-10169,preventif,Harvey's Drummondville,"1345 rue de l'Éclipse, Drummondville, QC",Drummondville,Centre-du-Québec,Filtration d'eau,6,NS-10169,0,,,2026-08-10
NS-10170,preventif,Harvey's — Rue Brock,"516 rue Brock, Drummondville, QC",Drummondville,Centre-du-Québec,Hotte,10,NS-10170,0,,,2026-08-10
NS-10171,preventif,McDonald's — Rue Du Prince,"884 rue du Prince, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Café filtre,5,NS-10171,0,,,2026-07-01
NS-10172,preventif,CLSC — Rue De L'Aqueduc,"1593 rue de l'Aqueduc, Victoriaville, QC",Victoriaville,Centre-du-Québec,Filtration d'eau,6,NS-10172,0,,,2026-07-15
NS-10173,preventif,Dépanneur 7 jours Drummondville,"1811 rue de l'Éclipse, Drummondville, QC",Drummondville,Centre-du-Québec,Four Combi,9,NS-10173,0,,,2026-08-01
NS-10174,preventif,Tim Hortons Shawinigan,"920 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Distributeur lait/crème,8,NS-10174,0,,,2026-07-15
NS-10175,preventif,Couche-Tard Thetford Mines,"833 rue Notre-Dame Est, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Distributeur à sucre,20,NS-10175,0,,,2026-07-01
NS-10176,preventif,Brûlerie locale Drummondville,"575 rue de l'Éclipse, Drummondville, QC",Drummondville,Centre-du-Québec,Boissons en fontaine,27,NS-10176,0,,,2026-07-15
NS-10177,preventif,Aréna municipal Nicolet,"188 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,ADMIN,37,NS-10177,0,,,2026-08-10
NS-10178,preventif,Benny&Co — Boulevard Louis-Fréchette,"509 boulevard Louis-Fréchette, Nicolet, QC",Nicolet,Centre-du-Québec,Filtration d'eau,6,NS-10178,0,,,2026-08-01
NS-10179,preventif,CLSC — Rue Notre-Dame,"273 rue Notre-Dame, Victoriaville, QC",Victoriaville,Centre-du-Québec,CT CUR-GEM3IF,32,NS-10179,0,,,2026-08-01
NS-10180,preventif,Métro Nicolet,"1655 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,Slush,42,NS-10180,0,,,2026-07-01
NS-10181,preventif,Tim Hortons — Rue Lindsay,"457 rue Lindsay, Drummondville, QC",Drummondville,Centre-du-Québec,Distributrice,25,NS-10181,0,,,2026-08-10
NS-10182,preventif,Métro — Boulevard Des Chenaux,"1582 boulevard des Chenaux, Trois-Rivières, QC",Trois-Rivières,Mauricie,Cappuccino Glacé,16,NS-10182,0,,,2026-08-10
NS-10183,preventif,Restaurant du Parc Magog,"1553 rue Principale Ouest, Magog, QC",Magog,Estrie,ADMIN,37,NS-10183,0,,,2026-07-15
NS-10184,preventif,A&W Thetford Mines,"1088 rue Notre-Dame Est, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Lassonde,39,NS-10184,0,,,2026-08-10
NS-10185,preventif,Dollarama Nicolet,"85 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,Accessoire TP,30,NS-10185,0,,,2026-08-10
NS-10186,preventif,CLSC Bécancour,"846 avenue des Érables, Bécancour, QC",Bécancour,Centre-du-Québec,Refroidisseur,31,NS-10186,0,,,2026-08-10
NS-10187,preventif,IGA Extra — Boulevard Jutras,"463 boulevard Jutras, Victoriaville, QC",Victoriaville,Centre-du-Québec,Site,1,NS-10187,0,,,2026-07-01
NS-10188,preventif,Restaurant du Parc Bécancour,"974 rue de l'Industrie, Bécancour, QC",Bécancour,Centre-du-Québec,Slush,42,NS-10188,0,,,2026-08-10
NS-10189,preventif,Harvey's Bécancour,"1607 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Lassonde,39,NS-10189,0,,,2026-08-10
NS-10190,preventif,CLSC — Rue Notre-Dame,"1258 rue Notre-Dame, Victoriaville, QC",Victoriaville,Centre-du-Québec,Slush,42,NS-10190,0,,,2026-08-10
NS-10191,preventif,Benny&Co — Boulevard Frontenac,"120 boulevard Frontenac, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Grille-Pain,11,NS-10191,0,,,2026-07-15
NS-10192,preventif,Harvey's Drummondville,"355 rue Power, Drummondville, QC",Drummondville,Centre-du-Québec,Refroidisseur,31,NS-10192,0,,,2026-07-01
NS-10193,preventif,Hôtel Le Dauphin — Rue Cockburn,"182 rue Cockburn, Drummondville, QC",Drummondville,Centre-du-Québec,Cappuccino Glacé,16,NS-10193,0,,,2026-08-01
NS-10194,preventif,Brûlerie locale — Rue Principale Ouest,"1144 rue Principale Ouest, Magog, QC",Magog,Estrie,Refroidisseur,31,NS-10194,0,,,2026-07-01
NS-10195,preventif,Harvey's Drummondville,"1231 rue Power, Drummondville, QC",Drummondville,Centre-du-Québec,Thé,21,NS-10195,0,,,2026-07-01
NS-10196,preventif,Hôtel Le Dauphin — Boulevard Royal,"1739 boulevard Royal, Shawinigan, QC",Shawinigan,Mauricie,Café filtre,5,NS-10196,0,,,2026-07-15
NS-10197,preventif,A&W Sorel-Tracy,"901 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Frigo à Condiments,18,NS-10197,0,,,2026-08-01
NS-10198,preventif,Harvey's Trois-Rivières,"632 rue Royale, Trois-Rivières, QC",Trois-Rivières,Mauricie,Accessoire TP,30,NS-10198,0,,,2026-08-01
NS-10199,preventif,IGA Extra — Rue De L'Industrie,"1663 rue de l'Industrie, Bécancour, QC",Bécancour,Centre-du-Québec,Moulin,17,NS-10199,0,,,2026-08-01
NS-10200,preventif,Harvey's Bécancour,"1249 rue de l'Industrie, Bécancour, QC",Bécancour,Centre-du-Québec,ADMIN,37,NS-10200,0,,,2026-07-01
NS-10201,preventif,Subway Victoriaville,"610 rue Laurier, Victoriaville, QC",Victoriaville,Centre-du-Québec,Distributeur lait/crème,8,NS-10201,0,,,2026-07-01
NS-10202,preventif,Restaurant du Parc Sherbrooke,"1845 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,K-Cup,24,NS-10202,0,,,2026-07-01
NS-10203,preventif,Subway — Rue De L'Aqueduc,"925 rue de l'Aqueduc, Victoriaville, QC",Victoriaville,Centre-du-Québec,PopCorn,12,NS-10203,0,,,2026-08-10
NS-10204,preventif,Dépanneur 7 jours Drummondville,"1603 rue Heriot, Drummondville, QC",Drummondville,Centre-du-Québec,Refroidisseur,31,NS-10204,0,,,2026-08-01
NS-10205,preventif,McDonald's Magog,"1010 rue Principale Ouest, Magog, QC",Magog,Estrie,Lassonde,39,NS-10205,0,,,2026-08-10
NS-10206,preventif,Harvey's — Avenue De La Station,"1180 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Distributeur à sucre,20,NS-10206,0,,,2026-08-01
NS-10207,preventif,McDonald's — Rue Du Portage,"1447 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,Filtration d'eau,6,NS-10207,0,,,2026-07-15
NS-10208,preventif,Métro — Boulevard Louis-Fréchette,"1504 boulevard Louis-Fréchette, Nicolet, QC",Nicolet,Centre-du-Québec,Réfrigérateur,28,NS-10208,0,,,2026-07-15
NS-10209,preventif,Subway — Boulevard Des Récollets,"961 boulevard des Récollets, Trois-Rivières, QC",Trois-Rivières,Mauricie,Réfrigérateur,28,NS-10209,0,,,2026-08-10
NS-10210,preventif,Harvey's — 9E Rue Sud,"1556 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Distributrice,25,NS-10210,0,,,2026-08-10
NS-10211,preventif,Subway — Rue Notre-Dame Est,"1387 rue Notre-Dame Est, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Four Combi,9,NS-10211,0,,,2026-07-15
NS-10212,preventif,Cafeteria industrielle — Rue Du Prince,"1460 rue du Prince, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Hotte,10,NS-10212,0,,,2026-07-01
NS-10213,preventif,A&W — Rue Merry Nord,"1345 rue Merry Nord, Magog, QC",Magog,Estrie,Four à Convection,14,NS-10213,0,,,2026-08-01
NS-10214,preventif,Starbucks — Boulevard Bécancour,"1236 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Réchaud,3,NS-10214,0,,,2026-08-10
NS-10215,preventif,IGA Extra Sorel-Tracy,"1826 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Espresso,2,NS-10215,0,,,2026-08-10
NS-10216,preventif,Benny&Co Sorel-Tracy,"1886 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Table chaude,40,NS-10216,0,,,2026-08-01
NS-10217,preventif,Harvey's — Rue Principale Ouest,"1720 rue Principale Ouest, Magog, QC",Magog,Estrie,Thermos,19,NS-10217,0,,,2026-08-01
NS-10218,preventif,Métro Sorel-Tracy,"1357 rue du Prince, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Café filtre,5,NS-10218,0,,,2026-07-01
NS-10219,preventif,IGA Extra Trois-Rivières,"544 boulevard des Récollets, Trois-Rivières, QC",Trois-Rivières,Mauricie,Polar-pop,33,NS-10219,0,,,2026-07-15
NS-10220,preventif,La Belle Province Bécancour,"1323 rue de l'Industrie, Bécancour, QC",Bécancour,Centre-du-Québec,Thermos,19,NS-10220,0,,,2026-08-10
NS-10221,preventif,McDonald's Magog,"823 rue Merry Nord, Magog, QC",Magog,Estrie,Cappuccino Glacé,16,NS-10221,0,,,2026-08-10
NS-10222,preventif,Aréna municipal — Rue Notre-Dame Est,"974 rue Notre-Dame Est, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Panini,23,NS-10222,0,,,2026-08-10
NS-10223,preventif,Dépanneur 7 jours — Boulevard Bécancour,"249 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Distributeur à eau chaude,22,NS-10223,0,,,2026-07-15
NS-10224,preventif,Dollarama — Rue Royale,"204 rue Royale, Trois-Rivières, QC",Trois-Rivières,Mauricie,Moulin,17,NS-10224,0,,,2026-07-01
NS-10225,preventif,Dollarama Trois-Rivières,"737 boulevard des Chenaux, Trois-Rivières, QC",Trois-Rivières,Mauricie,BW3 Désinstallé,38,NS-10225,0,,,2026-07-01
